suspectible,exposed,infected,carrier,dead,recovered,idx
3799985,5,5,5,0,0,1
3799985,5,5,5,0,0,1
3799985,4,5,6,0,0,1
3799985,2,6,7,0,0,1
3799985,2,6,7,0,0,1
3799985,1,7,6,0,1,1
3799984,1,7,7,0,1,1
3799984,1,7,7,0,1,1
3799982,3,7,6,0,2,1
3799982,3,7,6,0,2,1
3799982,1,5,8,0,4,1
3799981,2,4,8,0,5,1
3799981,2,4,8,0,5,1
3799980,3,4,8,0,5,1
3799978,3,4,9,0,6,1
3799976,4,5,9,0,6,1
3799973,6,6,8,0,7,1
3799972,6,5,9,0,8,1
3799971,4,5,11,0,9,1
3799967,6,6,11,0,10,1
3799965,7,7,10,0,11,1
3799965,7,7,10,0,11,1
3799964,5,8,9,0,14,1
3799962,6,8,10,0,14,1
3799962,6,7,10,0,15,1
3799962,6,7,10,0,15,1
3799961,6,6,10,0,17,1
3799961,5,6,10,0,18,1
3799961,5,4,9,0,21,1
3799961,5,4,9,0,21,1
3799961,5,4,8,0,22,1
3799961,3,4,9,0,23,1
3799960,2,4,9,0,25,1
3799957,4,3,10,0,26,1
3799952,8,4,10,0,26,1
3799948,12,4,10,0,26,1
3799947,10,7,8,0,28,1
3799946,9,9,8,0,28,1
3799945,8,8,8,0,31,1
3799943,9,8,9,0,31,1
3799939,11,9,9,0,32,1
3799937,12,10,8,0,33,1
3799934,14,11,8,0,33,1
3799932,14,10,9,0,35,1
3799929,14,12,9,0,36,1
3799927,11,13,13,0,36,1
3799919,16,14,14,0,37,1
3799916,17,13,16,0,38,1
3799910,19,13,19,0,39,1
3799904,24,12,17,0,43,1
3799899,23,15,19,0,44,1
3799892,24,18,22,0,44,1
3799886,26,18,25,0,45,1
3799877,32,18,26,0,47,1
3799864,35,19,31,0,51,1
3799851,44,19,32,0,54,1
3799838,50,22,35,0,55,1
3799816,63,28,35,0,58,1
3799801,69,33,36,0,61,1
3799783,74,39,39,0,65,1
3799768,70,47,43,0,72,1
3799751,69,57,47,0,76,1
3799719,89,60,51,0,81,1
3799696,101,69,49,0,85,1
3799670,108,80,55,0,87,1
3799653,97,81,70,0,99,1
3799602,122,85,82,0,109,1
3799550,155,93,87,0,115,1
3799489,191,104,92,1,123,1
3799433,227,104,96,1,139,1
3799375,254,117,99,1,154,1
3799325,260,133,114,1,167,1
3799264,270,154,132,1,179,1
3799195,290,175,142,1,197,1
3799124,292,196,171,1,216,1
3799031,328,227,184,1,229,1
3798933,369,245,201,1,251,1
3798812,421,268,225,2,272,1
3798686,471,286,253,2,302,1
3798530,530,321,279,2,338,1
3798358,605,357,303,2,375,1
3798175,691,387,339,3,405,1
3797970,769,444,380,3,434,1
3797715,892,484,428,3,478,1
3797459,979,534,490,4,534,1
3797154,1091,617,553,4,581,1
3796787,1303,670,593,4,643,1
3796397,1435,781,667,4,716,1
3796002,1566,888,747,5,792,1
3795569,1722,986,856,5,862,1
3795093,1871,1114,956,5,961,1
3794500,2116,1263,1059,5,1057,1
3793913,2339,1390,1149,6,1203,1
3793258,2570,1545,1283,6,1338,1
3792559,2786,1713,1451,6,1485,1
3791667,3110,1915,1653,9,1646,1
3790692,3518,2135,1826,10,1819,1
3789623,3942,2360,2013,12,2050,1
3788434,4383,2633,2242,13,2295,1
3787123,4908,2925,2497,15,2532,1
3785537,5581,3248,2814,15,2805,1
3783777,6302,3577,3185,15,3144,1
3781736,7159,4012,3557,16,3520,1
3779552,8012,4514,3994,18,3910,1
3777275,8785,5080,4482,25,4353,1
3774726,9650,5744,5008,28,4844,1
3771733,10765,6424,5655,33,5390,1
3768493,11938,7199,6306,36,6028,1
3764880,13255,8058,7030,45,6732,1
3760923,14648,8988,7865,46,7530,1
3756431,16301,10031,8785,50,8402,1
3751372,18086,11278,9782,56,9426,1
3745838,20032,12653,10896,64,10517,1
3739694,22227,14099,12201,72,11707,1
3732647,24938,15676,13568,82,13089,1
3725100,27525,17475,15103,91,14706,1
3716586,30528,19456,16830,104,16496,1
3707354,33506,21746,18765,111,18518,1
3696920,37049,24247,21005,120,20659,1
3685506,40693,27184,23459,137,23021,1
3673030,44934,30100,26124,153,25659,1
3659163,49403,33570,28991,172,28701,1
3643937,54380,37319,32197,204,31963,1
3627248,59695,41403,35657,231,35766,1
3609286,64950,46032,39547,255,39930,1
3589242,71180,51043,43778,280,44477,1
3567678,77427,56601,48406,321,49567,1
3544193,83877,62675,53598,356,55301,1
3519084,90565,69198,59036,392,61725,1
3491904,97634,76338,64817,429,68878,1
3462689,105043,83953,71089,491,76735,1
3431778,112177,92009,78158,538,85340,1
3398561,119816,100801,85239,600,94983,1
3363552,127289,110134,92833,662,105530,1
3326347,135343,119790,100877,734,116909,1
3287559,142402,130136,109229,806,129868,1
3247037,149511,140747,117972,886,143847,1
3204990,156197,151862,126767,979,159205,1
3161654,162372,163282,135934,1088,175670,1
3116918,168062,175009,144795,1204,194012,1
3070916,173906,186532,153668,1328,213650,1
3024515,177692,198616,162964,1469,234744,1
2977471,180820,210736,171659,1620,257694,1
2930255,183264,222221,180032,1785,282443,1
2882906,185077,233387,187785,1962,308883,1
2835818,185914,244066,195203,2141,336858,1
2788931,185883,254376,202184,2335,366291,1
2742853,185142,263672,207996,2548,397789,1
2698184,182280,272457,213448,2758,430873,1
2653882,179596,280189,217842,3013,465478,1
2610734,177411,286134,220916,3265,501540,1
2569326,173960,291149,223118,3535,538912,1
2528851,169982,295519,224411,3805,577432,1
2490613,164738,298299,224860,4116,617374,1
2453833,159144,299741,224544,4386,658352,1
2418629,153230,300741,223140,4681,699579,1
2384891,146955,300372,221172,4993,741617,1
2352980,140957,298862,217982,5317,783902,1
2322322,134934,296194,214220,5608,826722,1
2293519,128981,292631,209473,5939,869457,1
2266056,124806,287236,203158,6250,912494,1
2240694,118909,281373,196933,6550,955541,1
2216579,112747,275280,190587,6882,997925,1
2194079,106823,268313,184011,7206,1039568,1
2173048,100717,260969,177157,7553,1080556,1
2153218,95156,253261,169968,7863,1120534,1
2134989,89481,244632,162671,8167,1160060,1
2117632,84527,235889,155510,8482,1197960,1
2101696,79175,227124,148323,8750,1234932,1
2086587,74440,217893,141349,9034,1270697,1
2072628,70055,208600,134035,9312,1305370,1
2059788,65645,199336,127086,9600,1338545,1
2047599,61825,190166,120223,9851,1370336,1
2036412,57809,181342,113648,10082,1400707,1
2026117,54491,172186,106729,10322,1430155,1
2016492,51321,163265,100236,10517,1458169,1
2007581,48295,154673,94012,10717,1484722,1
1999249,45142,146593,88231,10922,1509863,1
1991684,41879,138606,82774,11118,1533939,1
1984846,38872,130887,77562,11322,1556511,1
3799985,5,5,5,0,0,2
3799985,5,5,5,0,0,2
3799985,4,6,5,0,0,2
3799985,2,7,6,0,0,2
3799985,2,7,6,0,0,2
3799985,1,8,6,0,0,2
3799985,0,8,7,0,0,2
3799985,0,8,7,0,0,2
3799984,1,8,7,0,0,2
3799984,1,8,6,0,1,2
3799984,1,7,6,0,2,2
3799984,1,5,6,0,4,2
3799984,0,6,6,0,4,2
3799984,0,5,6,0,5,2
3799983,1,5,6,0,5,2
3799983,0,6,6,0,5,2
3799983,0,6,6,0,5,2
3799983,0,5,5,0,7,2
3799983,0,4,5,0,8,2
3799983,0,4,5,0,8,2
3799983,0,4,5,0,8,2
3799983,0,3,5,0,9,2
3799983,0,3,5,0,9,2
3799983,0,3,5,0,9,2
3799983,0,2,5,0,10,2
3799983,0,2,5,0,10,2
3799983,0,2,5,0,10,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,1,5,0,11,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799983,0,0,5,0,12,2
3799985,5,5,5,0,0,3
3799985,5,5,5,0,0,3
3799985,4,5,6,0,0,3
3799985,2,7,6,0,0,3
3799985,2,7,6,0,0,3
3799985,1,7,7,0,0,3
3799985,0,8,7,0,0,3
3799984,1,8,6,0,1,3
3799984,0,9,6,0,1,3
3799984,0,9,6,0,1,3
3799984,0,8,6,0,2,3
3799984,0,7,6,1,2,3
3799983,1,7,6,1,2,3
3799983,1,7,6,1,2,3
3799983,1,7,6,1,2,3
3799983,1,6,6,1,3,3
3799983,1,4,6,1,5,3
3799982,2,2,5,1,8,3
3799982,2,1,5,1,9,3
3799982,2,1,5,1,9,3
3799982,2,1,5,1,9,3
3799982,1,2,5,1,9,3
3799982,1,2,5,1,9,3
3799982,1,2,5,1,9,3
3799982,1,1,5,1,10,3
3799982,1,1,5,1,10,3
3799982,1,1,5,1,10,3
3799982,0,2,5,1,10,3
3799982,0,2,5,1,10,3
3799982,0,2,5,1,10,3
3799982,0,2,5,1,10,3
3799982,0,2,5,1,10,3
3799982,0,2,5,1,10,3
3799982,0,1,5,1,11,3
3799982,0,1,5,1,11,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799982,0,0,5,1,12,3
3799985,5,5,5,0,0,4
3799985,5,5,5,0,0,4
3799985,4,5,6,0,0,4
3799985,2,6,7,0,0,4
3799985,2,6,7,0,0,4
3799985,1,6,8,0,0,4
3799985,0,7,8,0,0,4
3799985,0,7,8,0,0,4
3799985,0,6,8,0,1,4
3799985,0,6,8,0,1,4
3799984,1,5,7,0,3,4
3799984,1,4,6,0,5,4
3799984,0,5,6,0,5,4
3799982,2,5,6,0,5,4
3799982,2,5,6,0,5,4
3799982,1,6,6,0,5,4
3799982,1,5,6,0,6,4
3799982,1,4,6,0,7,4
3799982,1,3,6,0,8,4
3799982,1,3,6,0,8,4
3799982,1,3,5,0,9,4
3799982,1,3,5,0,9,4
3799982,1,2,5,0,10,4
3799982,0,3,5,0,10,4
3799982,0,1,5,0,12,4
3799982,0,1,5,0,12,4
3799982,0,1,5,0,12,4
3799982,0,1,5,0,12,4
3799982,0,1,5,0,12,4
3799982,0,0,5,0,13,4
3799982,0,0,5,0,13,4
3799982,0,0,5,0,13,4
3799982,0,0,5,0,13,4
3799982,0,0,5,0,13,4
3799982,0,0,5,0,13,4
3799982,0,0,5,0,13,4
3799982,0,0,5,0,13,4
